GivenName,Surname,StreetAddress,PostalCode,Birthday,City,Title,EmpID,Loggon,Phone
Nadine,Söderberg,Centralvägen 1,123 45,7/26/1966,Stockholm,Konsult,2,NaSo2,0707121001
Annie,Hedlund,Centralvägen 1,123 45,11/1/1979,Stockholm,Konsult,3,AnHe3,0707121002
Alec,Lundqvist,Centralvägen 1,123 45,11/14/1978,Stockholm,Konsult,4,AlLu4,0707121003
Edwin,Åkesson,Centralvägen 1,123 45,1/22/1968,Stockholm,Konsult,5,Edak5,0707121004
Nellie,Nilsson,Centralvägen 1,123 45,6/17/1960,Stockholm,Konsult,6,NeNi6,0707121005
Mahmoud,Larsson,Centralvägen 1,123 45,1/10/1993,Stockholm,Konsult,7,MaLa7,0707121006
Milla,Petersson,Centralvägen 1,123 45,4/16/1977,Stockholm,Konsult,8,MiPe8,0707121007
Malte,Nilsson,Centralvägen 1,123 45,4/6/1995,Stockholm,Konsult,9,MaNi9,0707121008
Edwin,Nyström,Centralvägen 1,123 45,4/22/1993,Stockholm,Chef,10,EdNy10,0707121009
Annika,Blom,Centralvägen 1,123 45,6/21/1996,Stockholm,Konsult,11,AnBl11,0707121010
Maryam,Olofsson,Centralvägen 1,123 45,5/9/1971,Stockholm,Konsult,12,MaOl12,0707121011
Sonia,Svensson,Centralvägen 1,123 45,1/9/1967,Stockholm,Vaktis,13,SoSv13,0707121012
Nicole,Fransson,Centralvägen 1,123 45,5/5/1994,Stockholm,Seniorkonsult,14,NiFr14,0707121013
Vilma,Berg,Centralvägen 1,123 45,12/15/1989,Stockholm,Seniorkonsult,15,ViBe15,0707121014
Axel,Björk,Centralvägen 1,123 45,7/28/1986,Stockholm,Seniorkonsult,16,AxBj16,0707121015
Nadin,Danielsson,Centralvägen 1,123 45,6/23/1994,Stockholm,Seniorkonsult,17,NaDa17,0707121016
Simone,Strömberg,Centralvägen 1,123 45,12/7/1984,Stockholm,Ledning,18,SiSt18,0707121017
Tina,Forsberg,Centralvägen 1,123 45,2/4/1997,Stockholm,Seniorkonsult,19,TiFo19,0707121018
